Threads: 1, Intervals: 1000x1000, Result: 1.400408, Time: 0.032563 seconds
Threads: 1, Intervals: 1000x10000, Result: 1.400027, Time: 0.386849 seconds
Threads: 1, Intervals: 1000x100000, Result: 1.399988, Time: 3.357260 seconds
Threads: 1, Intervals: 10000x1000, Result: 1.400027, Time: 0.446136 seconds
Threads: 1, Intervals: 10000x10000, Result: 1.399644, Time: 3.769281 seconds
Threads: 1, Intervals: 10000x100000, Result: 1.399606, Time: 32.413869 seconds
Threads: 1, Intervals: 100000x1000, Result: 1.399988, Time: 3.375166 seconds
Threads: 1, Intervals: 100000x10000, Result: 1.399606, Time: 32.368334 seconds
Threads: 1, Intervals: 100000x100000, Result: 1.399568, Time: 319.062600 seconds
Threads: 2, Intervals: 1000x1000, Result: 1.400408, Time: 0.016745 seconds
Threads: 2, Intervals: 1000x10000, Result: 1.400027, Time: 0.180357 seconds
Threads: 2, Intervals: 1000x100000, Result: 1.399988, Time: 1.769104 seconds
Threads: 2, Intervals: 10000x1000, Result: 1.400027, Time: 0.150827 seconds
Threads: 2, Intervals: 10000x10000, Result: 1.399644, Time: 1.559062 seconds
Threads: 2, Intervals: 10000x100000, Result: 1.399606, Time: 16.711773 seconds
Threads: 2, Intervals: 100000x1000, Result: 1.399988, Time: 1.697629 seconds
Threads: 2, Intervals: 100000x10000, Result: 1.399606, Time: 17.246372 seconds
Threads: 2, Intervals: 100000x100000, Result: 1.399568, Time: 169.805643 seconds
Threads: 4, Intervals: 1000x1000, Result: 1.400408, Time: 0.012392 seconds
Threads: 4, Intervals: 1000x10000, Result: 1.400027, Time: 0.101503 seconds
Threads: 4, Intervals: 1000x100000, Result: 1.399988, Time: 0.906486 seconds
Threads: 4, Intervals: 10000x1000, Result: 1.400027, Time: 0.110476 seconds
Threads: 4, Intervals: 10000x10000, Result: 1.399644, Time: 0.958081 seconds
Threads: 4, Intervals: 10000x100000, Result: 1.399606, Time: 8.995847 seconds
Threads: 4, Intervals: 100000x1000, Result: 1.399988, Time: 1.042296 seconds
Threads: 4, Intervals: 100000x10000, Result: 1.399606, Time: 9.934058 seconds
Threads: 4, Intervals: 100000x100000, Result: 1.399568, Time: 90.879464 seconds
Threads: 8, Intervals: 1000x1000, Result: 1.400408, Time: 0.013657 seconds
Threads: 8, Intervals: 1000x10000, Result: 1.400027, Time: 0.077404 seconds
Threads: 8, Intervals: 1000x100000, Result: 1.399988, Time: 0.566739 seconds
Threads: 8, Intervals: 10000x1000, Result: 1.400027, Time: 0.052385 seconds
Threads: 8, Intervals: 10000x10000, Result: 1.399644, Time: 0.570105 seconds
Threads: 8, Intervals: 10000x100000, Result: 1.399606, Time: 5.151191 seconds
Threads: 8, Intervals: 100000x1000, Result: 1.399988, Time: 0.542129 seconds
Threads: 8, Intervals: 100000x10000, Result: 1.399606, Time: 5.277259 seconds
Threads: 8, Intervals: 100000x100000, Result: 1.399568, Time: 51.393685 seconds
